message	label
삼다수 두 병을 잃어버렸어요 ㅠㅠ 보신 분 아무나 연락 주세요	분실물
운동화를 분실했습니다. 보신 분은 꼭 연락 주세요.	분실물
열쇠고리 보신 분 갠톡 부탁드립니다. 저에게 너무 소중한 물건이에요	분실물
빨간색 USB 찾습니다	분실물
가방 바꿔서 가져가신 분? 검은색 가방입니다	분실물
혹시 형3205 근처에서 재킷 보신 분 있나요?	분실물
DDC 키를 잃어버렸는데 찾으신 분 있을까요	분실물
김아무개 선생님 어디 계신지 구합니다	사람
김김김 전화 받으라 해주세요	사람
21 박박군 자고 있으면 깨워주세요	사람
공공칠 선생님 연락처 아시는 분 있나요?	사람
최땡땡군 미분방정식 수업 오라 해주세요	사람
@20 박지훈 자고 있으면 문으로 쳐서라도 일어나게 해주세요	사람
20 박지훈 연락 보라 해주세요	사람
고무장갑 구합니다. 아무나 팔아줄 수 있나요?	물건
간식 비싸게 삽니다	물건
안 쓴 우산 삽니다 (급함)	물건
혹시 드라이아이스 있는 랩 있나요?	물건
휴지 삽니다!!	물건
형광펜 팔아주실 분 있나요?	물건
라면 삽니다	물건
주황색 푸마 축구화 보신분 갠톡주세요	분실물
이성관 선생님 연락처 아시는 분 갠톡 부탁드립니다.	사람
치약 구합니다ㅠㅠ	물건
이렇게 생긴 에어팟 보시면 갠톡주시면 감사하겠습니다.	분실물
@오민준 연락 보라고 해주세요	사람
이정훈 선생님 어디 계시는지 아시는분 갠톡 부탁드립니다	사람
@이경민 감면 보내주세요!	사람
에너지 음료 삽니다	물건
몬스터 노란색 비싸게 삽니다	물건
3303입니다	분실물
다음학기 이산구조 들으실 분 공감 눌러주세요~	정보
다음 학기 선대 들이실 분 공감 눌러주시면 감사하겠습니다.	정보
12시부터 대강당에서 리허설이 있을 예정이오니 대강당 이용을 삼가해 주시면 감사하겠습니다.	정보
권세창 선생님 연락처 있으신 분 갠톡 부탁드립니다.	정보
감기약 구합니다	물건
삭제된 메시지입니다.	기타
3402요	분실물
이렇게 생긴 옷 빨래방에서 나오시면 연락주세요	분실물
문사/정경 트래이드 하실 분 있나요?	정보
노트 하나 삽니다! 비싸게 사례합니다	물건
AA건전지 있으신분 갠톡주시면 감사하겠습니다.	물건
털렸습니다. 죄송합니다ㅠ	기타
@박지훈 주변에 있으면 톡 읽어 달라고 해주세요. 급합니다.	사람
근처에 노트북 수리하는데 아시는분 있나요?	정보
주말에 급식 몇시부터 주나요?	정보
생활체육1 수업 오늘 대강당에서 한다고 합니다.	정보
운동장에 휴대폰 떨어져 있습니다	분실물
운동화 보신분 연락주시면 감사하겠습니다.	분실물
각티슈 파실 분 있나요	물건
방학때 알엔이 몇일하시는지 아시는분 있나요?	정보
날줄씨줄 지원자 모집합니다.	정보
오늘 간식 기증해 주실 분 있나요...!	기타
라면 파실분 구해요...	물건
전화에 정리본인데 기말 공부하기에 도움될거 같아 공유합니다.	정보
.pdf	정보
SEM 신청 어디서 하는지 아시는분 연락주세요ㅜㅜ	정보
국외위탁 교육 어디서 신청하는지 아시는분 연락주세요	정보
추가신청 언제부터인지 아시는 분 있나요	정보
학교에 분실물 어디에 두는지 아시나요?	분실물
이번 SAF 봉사시수 부여 기준 아시는 분 있나요?	정보
내일 AA 모임 온라인인가요?	정보
상담실 모임 필참인지 아시는 분 있나요?	정보
야간화재지진대피훈련 몇 시에 끝나나요	정보
DDC 키 누가 가지고 있나요	정보
노트북에 자꾸 이런 에러가 뜨는데 해결법 아시는분	정보
학교 학생인증 할려면 어떻게 하면 되나요?	정보
학교 근처 괜찮은 수리점 있나요	정보
배달 음식 추천 받습니다	기타
오늘 갑자기 귀가할 수도 있다는데 사실인가요	정보
보건실이 어디인가요? ^^	정보
다음 학기 미분방정식 들으실 분 공감해주세요	정보
고양이가 막 웨에에옹 거리면서 우는데 왜 이렇게 우는 건가요	정보
고장난 글루건 고칠 수 있는 분 연락 부탁드립니다	정보
재학생 대상 프로그램이 진행되고 있으니 많은 관심 부탁드립니다	정보
학생 웹 로그인 정보 어떻게 되나요?	정보
와이파이 비번이 뭔가요?	정보
샤프 보신분 연락주세요	분실물
곧 7시부터 무슨무슨 클럽의 정기공연이 시작됩니다. 많은 관심 부탁드려요!	정보
마우스 보신분 연락 부탁 드립니다	분실물
빨래 바구니에서 흰색 줄무니 그려진 티셔츠가 나왔습니다.	분실물
제가 제일 아끼는 인형을 잃어버렸습니다... 다들 세탁망 한 번만 확인해주세요 ㅠㅠㅠㅠ	분실물
길에서 L자 파일을 주워서 사감실에 놔뒀으니 찾아가세요	분실물
물리 교과서 잃어버렸습니다ㅠㅠ 보신분 연락주시면 감사하겠습니다.	분실물
형3205입니다	분실물
자료구조 발표 언젠지 아시는분 있나요?	정보
수학의 활용 보강 언젠지 안시는분 있나요	정보
15분 뒤까지 출력해서 제출해야 하는 과제가 있는데 USB를 잃어버렸어요 다들 도와주시면 감사하겠습니다	분실물
민교전 참가 서류 어디서 인쇄할 수 있나요?	정보
학교근처에 포스터 인쇄할 만한데 있나요	정보
USB를 잃어버렸어요. 왠지 형설관 2층 어딘가에 있을 것 같은데 보신 분 있나여	분실물
축구화 가져간 사람	분실물
대강당 앞에 피켓 세워뒀는데 어디 갔나요	분실물
버즈 발견하시면 갠톡 주세요...	분실물
홍지우 연락보라고 해주세요	사람
이시카이프 선생님 연락처나 이메일 주소 있으시면 갠톡주세요	사람
김중곤 선생님 어디에 계시는지 아시는분 있나요	사람
강준구 선생님 연락 보라고 해주세요	사람
@박무혁 스페인어 수업 보내주세요.	사람
김아무개 선생님 오피스 아워 아시는 분 연락 부탁드립니다	사람
박철수 연락 보라 해주세요 짬뽕 다 불고 있습니다	사람
지난 학기에 마키아벨리에 대해 세계사 발표 하신 분 연락 주세요	사람
실험실에 이거 놓고 가신 분 갠톡 주세요	사람
박지훈 어디 있나요	사람
보건요양신천서 수정 가능한가요?	정보
혹시 제가 맨날 하고 다니는 목도리 보신분 계신가요?	분실물
보건 선생님 연락처 있으신 분 알려주시면 감사하겠습니다.	사람
혹시 오늘 하루동안 학사모 빌려주실 수 있으신분, 혹은 빌릴 방법을 아시는 분은 연락 부탁드립니다!	정보
송민경 선생님 보시면 제 카톡 좀 봐달라고 해주세요	사람
우리학교에서 포스터 어디서 뽑을 수 있는지 아시는분 있나요?	정보
워드 잘 아시는 분 연락주세요 사례할게요...	정보
김용덕 선생님 지금 어디 계시는지 아시는분 알려주실 수 있나요?	사람
c타입 충전기 빌려주실 수 있으신분 있나요?	물건
라면 있으신 분 연락주세용	물건
각휴지 파실 분 있나요	물건
네 감사합니다.	기타
여인아 선생님 연락처있으신분 좀 알려주세요ㅠ	사람
@오민준 자고 있으면 깨워서 물리수업 보내주세요	사람
스테이플러 있으신분 있나요?	물건
aa건전지 비싸게 삽니다. 연락주세요	물건
간식 많이 남아서 추가 배식 하고 있답니다	정보
종합 감기약 있으신분 갠톡주세요	물건
애플 팬촉 구합니다	물건
애플 팬슬 팬촉 같이 공구하실 분 있나요	물건
@장서현 카톡 봐달라고 해주세요	사람
@김동은 톡 보라고 해주세요	사람
학교 어딘가에 있는 검정색 삼성 노트북 보신분 연락 주세요	분실물
칫솔 삽니다	물건
치약 구해요	물건
생음 기초화성학, 재즈중에 어떤것이 더 좋나요?	정보
일본어 발표 몇번까지 였나요?	정보
오늘 부산역 5시 반쯤 도착하는 분들중에 택시 같이 타실 분 계신가요?	정보
민교전 가는 사람 갠톡주세요	사람
버즈 발견하시면 갠톡 주세요	분실물
버즈 발견하면 연락주세요	분실물
@신찬 카톡 보라고 해주세요	사람
혹시 데시벨 측정기 학교에 있는지 아시는 분 있나요?	정보
파란 옷 있으신 분 있나요?	물건
본곤 3층 세미나실 볻도에 떨어져 있던 에어팟 도서관 창틀에 올려뒀습니다.	분실물
창뚤에 있습니다	분실물
3405에 있습니다	분실물
우수쌤 보신분 있으신가요	사람
ksa 와아피이 연결 비밀번호 아시는분 있나요?	정보
예지관 6층 체육관에서 보라생 끈 팔찌 보신 분 연락주세요~	분실물
사포 있으신 분 갠톡부탁드립니다ㅠ	물건
혹시 SAF때 학부행사 언제 끝나는지 아시는 분 계신가요?	정보
@민지홍 @홍성민 @오민준 깨워서 선대 보강 오라고 해주세요	사람
혹시 휴대용 전자저울 있으신 분 갠톡부탁드립니다	분실물
보조베터리 빌려주실 수 있으신분 있나요.. 급합니다	물건

